provider_name,address1,address2,city,county,state_code,zip,national_drug_code,order_label,courses_available,geocoded_address,npi,last_report_date,provider_status,provider_note
Hunsville Hospital Fever & Flu Clinic,120 Governors Drive,,Huntsville,Madison,AL,35801,,Commercial Veklury (remdesivir),,,,,,256-265-1498|https://www.huntsvillehospital.org/fever-flu-clinic
Total Infusion,6955 Foothill Blvd STE 67A,Located at Eastmont Town Center “Main Entrance E”,Oakland,Alameda,CA,94605,,Commercial Veklury (remdesivir),,,,,,510-878-9528|https://totalinfusion.com/
Keck Hospital of USC,1500 San Pablo Street,,Los Angeles,Los Angeles,CA,90033,,Commercial Veklury (remdesivir),,,,,,800-USC-CARE|https://www.keckmedicine.org/
UCLA Clinical Translational Research Center,10833 Le Conte Avenue, BE-144 Center of Health Sciences,Los Angeles,Los Angeles,CA,90095,,Commercial Veklury (remdesivir),,,,,,310-825-5225|https://www.uclahealth.org/conditions-we-treat/coronavirus/covid-19-outpatient-treatments
Woodland Hills Medical Center Kaiser Permanente,5601 De Soto Avenue,,Woodland Hills,Los Angeles,CA,91367,,Commercial Veklury (remdesivir),,,,,,818-719-2000|https://thrive.kaiserpermanente.org/care-near-you/southern-california/woodland-hills/locations/woodland-hills-medical-center/
Ascada Health,301 W. Bastanchury Rd.,Suite 220,Fullerton,Orange,CA,92835,,Commercial Veklury (remdesivir),,,,,,657-230-7337|https://sa1s3.patientpop.com/assets/docs/374534.pdf
UC San Diego Health,Multiple Locations,,San Diego,San Diego,CA,92103,,Commercial Veklury (remdesivir),,,,,,858-657-7000|https://health.ucsd.edu/coronavirus/Pages/faq.aspx
Sharp Memorial Hospital,Home Health,,San Diego,San Diego,CA,92103,,Commercial Veklury (remdesivir),,,,,,858-627-5600|https://www.sharp.com/services/home-health/
Stanford Outpatient Therapeutics,Hoover Pavilion-Main Sumc,211 Quarry Rd,Palo Alto,Santa Clara,CA,94304,,Commercial Veklury (remdesivir),,,,,,|https://redcap.stanford.edu/surveys/?s=4X8HRMYE3N https://stanfordhealthcare.org/discover/covid-19-resource-center/treatment-research/covid-19-outpatient-therapeutics.html
UCSF,,,San Francisco,San Francisco,CA,94143,,Commercial Veklury (remdesivir),,,,,,415-353-7155|https://www.ucsfhealth.org/clinics/infusion-center
